Hugtök: is|Orðaflokkur: is|Kyn|Tala: is|Skilgreining: is|Skýring: is|Dæmi: is|Samheiti: is|Heimild: is|Sérsvið: is|Vísun/sjá einnig: is|Hugtak: en|Skilgreining: en|Skýring: en|Dæmi: en|Samheiti: en|Heimild: en|Sérsvið: en|Vísun/sjá einnig: en
arftekið hlutnet|na|hk|Eintala||||einskorðað hlutnet||||induced subgraph|||||||
arftekið grannmynstur|na|hk|Eintala||||||||induced topology|||||||
andrárástand|na|hk|Eintala||||||||instantaneous state|||||||
andhverfur|ls|kvk|Fleirtala||||||||inverse|||||||
andhverfa|na|kvk|Eintala|||||||inverse function, inverse mapping|inverse|||||||
andhverfa (falls)|||Eintala||||andhverft fall|||inverse|inverse function|||||||
andhverfa (vörpunar)|||Eintala||||andhverf vörpun|||inverse|inverse mapping|||||||
andhverfusetning|na|kvk|Eintala||||||||inverse mapping theorem|||||||
andhverf vensl|na|hk|Fleirtala||||||||inverse relation||||dual|||
andhverfuformúla|na|kvk|Eintala||||andhverfuformkorn||||inversion formula|||||||
andhverfður|ls||Eintala||||umhverfður||||inverted|||||||
andhverfanlegur|ls|kk|Eintala|||||||inverse|invertible|||||||
aftasti tölustafur|na|kk|Eintala||||||||last digit|||||||
aðalhornalína|na|kvk|Eintala||||meginhornalína||||leading diagonal||||main diagonal, major diagonal, principal diagonal|||
algildisminnsta leif|na|kvk|Eintala||||||||least absolute remainder||||minimal residue|||
afgangur|na|kk|Eintala||||minnsta leif||||least non-negative residue||||principal remainder, remainder|||
aftasti tölustafur|na|kk|Eintala|||||||most significant digit|least significant digit|||||||
aðferð minnstu ferninga|na|kvk|Eintala||||aðferð minnstu fervika||||least squares method||||method of least squares|||
aðhvarfslína|na|kvk|Eintala||||||||line of regression||||regression line|||
aflfræði|na|kvk|Eintala||||||||mechanics|||||||
aðferð|na|kvk|Eintala||||||||method|||||||
aðferð breytilegra stuðla|na|kvk|Eintala||||||||method of variation of constants||||method of variation of parameters|||
aukahringur|na|kk|Eintala||||aukahvirfilhringur|||eccentric circle, major circle|minor circle|||||||
algengasta gildi|na|hk|Eintala||||líklegasta gildi||||modal value||||mode, most probable value|||
allsherjarþekjuflötur|na|kk|Eintala||||||||modular surface||||universal covering surface|||
algildisflötur|na|kk|Eintala||||||||modular surface||||relief|||
aðskilnaðarregla|na|kvk|Eintala||||aðskilnaðarháttur||||modus ponens||||rule of detachment|||
