Hugtök: is|Orðaflokkur: is|Kyn|Tala: is|Skilgreining: is|Skýring: is|Dæmi: is|Samheiti: is|Heimild: is|Sérsvið: is|Vísun/sjá einnig: is|Hugtak: en|Skilgreining: en|Skýring: en|Dæmi: en|Samheiti: en|Heimild: en|Sérsvið: en|Vísun/sjá einnig: en
allsherjarlokun|na|kvk|Eintala||||||||universal closure|||||||
allsherjarþekjurúm|na|hk|Eintala||||||||universal covering space|||||||
allsherjarsvið|na|hk|Eintala||||||||universal field|||||||
allsherjarhlutur|na|kk|Eintala||||||||universal object|||||||
allsherjareiginleiki|na|kk|Eintala||||||||universal property|||||||
allsherjarmagnari|na|kk|Eintala||||allsherjarvirki||||universal quantifier|||||||
almengi|na|hk|Eintala||||||||universal set|||||||
allsherjartákn|na|hk|Eintala|||||||universal quantifier|universal symbol|||||||
alheimur|na|kk|Eintala||||||||universe|||||||
afvinding|na|kvk|Eintala||||||||unwinding|||||||
bein skekkja|na|kvk|Eintala||||||||absolute error|||||||
beinn stöðugleiki|na|kk|Eintala||||||||absolute stability|||||||
burtséð frá|ls|hk|Fleirtala||||||||apart from||||except for, up to|||
bogi|na||Eintala||||ferilbogi||||arc|||||||
bogalengd|na||Eintala||||||||arc length|||||||
bogalengdarfrymi|na|hk|Eintala||||||||arc length element|||||||
bogalengdarfall|na|hk|Eintala||||||||arc length function|||||||
bandfylki|na|hk|Eintala||||||||band matrix||||striped matrix|||
bandbreidd|na|kvk|Eintala||||||||band width|||||||
beyging|na|kvk|Eintala||||sveiging||||bending|||||||
besta nálgun|na|kvk|Eintala||||||||best approximation|||||||
betadreifing|na|kvk|Eintala||||||||beta distribution|||||||
betafall|na|hk|Eintala||||||||beta function|||||||
bjagaður|ls|kk|Eintala||||vilhallur, skakkur, hlutdrægur||||biased|||||||
biti|na||Eintala||||tvíundatölustafur||||bigit||||binary digit, bit|||
brotinn línulegur|ls||Eintala|||||||bilinear transformation|bilinear|||||||
brotin línuleg færsla|na|kvk|Eintala||||Möbíusarfærsla||||bilinear transformation||||fractional linear transformation, homographic mapping, homography, linear fractional transformation, Möbius transformation|||
binda|sag||Eintala|||||||bound variable|bind|||||||
bryddað fylki|na|hk|Eintala||||||||bordered matrix|||||||
brydding|na|kvk|Eintala||||||||bordering|||||||
bryddingaraðferð|na|kvk|Eintala||||||||bordering method|||||||
bundin breyta|ls|hk|Fleirtala||||bundin breytistærð, leppbreyta|||bind|bound variable||||dummy variable|||
bundinn vigur|na|kk|Eintala|||||||free vector|bound vector||||fixed vector, localized vector|||
brugðningur|na|kk|Eintala||||||||braid|||||||
brugðningagrúpa|na|kvk|Eintala||||||||braid group|||||||
brugðningafræði|na|kvk|Eintala||||||||braid theory|||||||
breidd|na|kvk|Eintala||||||||breadth||||width|||
brotpunktur|na|kk|Eintala||||||||break point|||||||
brú|ls|kvk|Eintala||||||||bridge||||cut edge, isthmus, separating edge|||
brotið línustrik|na|hk|Eintala||||||||broken line||||polygonal line|||
bundin|na|hk|Fleirtala|||||||bundle of lines, pencil|bundle||||sheaf|||
bundin|na|hk|Fleirtala|||||||complex line bundle, dual bundle, fibre bundle, jet bundle, line bundle, normal bundle, spin bundle, tangent bundle, tensor bundle, trivial bundle, vector bundle|bundle|||||||
bundin af línum|na|kvk|Fleirtala||||línubundin||||bundle of lines||||sheaf of lines|||
bundin af samsíða línum|na|kvk|Fleirtala||||samsíðubundin||||bundle of parallel lines||||sheaf of parallel lines|||
bundin af sléttum|na|kvk|Fleirtala||||sléttubundin|||pencil of planes|bundle of planes||||sheaf of planes|||
bundin af hvelum|na|hk|Fleirtala||||hvelabundin||||bundle of spheres||||sheaf of spheres|||
bæti|na||Eintala||||tölvustafur||||byte|||||||
brotareikningur|na|kk|Eintala|||||||fractional arithmetic|calculus of fractions|||||||
burðarmengi|na||Eintala||||||||carrier|||||||
brennilína|na|kvk|Eintala||||||||caustic|||||||
brenniflötur|na|kk|Eintala||||||||caustic|||||||
brennimengi|na||Eintala||||||||caustic|||||||
breytuskipti|sag||Eintala||||innsetning|||substitution, integration by substitution|change of variables|||||||
boðleið|na|kvk|Eintala||||rás||||channel||||communication channel|||
bogamál|na|hk|Eintala|||||||measure of angle|circular measure||||radian measure|||
bandalag|na|hk|Eintala||||||||coalition|||||||
breytistuðull|na|kk|Eintala||||fráviksstuðull||||coefficient of variation||||variation coefficient|||
beint markgildi|na|hk|Eintala|||||||limit|colimit||||direct limit, inductive limit|||
brotabrot|na|hk|Eintala||||||||complex fraction||||compound fraction|||
bundinn Riemann-flötur|na|kk|Eintala||||||||concrete Riemann surface|||||||
bakliður|na|kk|Eintala|||||||antecedent|consequent||||succedent|||
byggja|sag||Eintala||||byggja upp, búa til, smíða||||construct|||||||
burður|na|kk|Eintala||||flutningur||||convection|||||||
boginn|ls||Eintala||||sveigður||||curved|||||||
bogin lína|na|kvk|Eintala||||boglína, sveigð lína, sveiglína|||curve|curved line|||||||
broddur|na|kk|Eintala||||||||cusp|||||||
bjögun|na|kvk|Eintala||||||||deformation|||||||
bjögun|na|kvk|Eintala||||togun||||deformation|||||||
brúnahorn|na|hk|Eintala||||||||dihedral angle|||||||
beinn þáttur|na|kk|Eintala||||||||direct factor|||||||
bein mynd|na|kvk|Eintala||||||||direct image|||||||
beinn undanfari|na|kk|Eintala||||næsti undanfari||||direct predecessor||||immediate antecedent, immediate predecessor|||
beint margfeldi|na|hk|Eintala|||||||cartesian product, direct sum|direct product|||||||
bein sönnun|na|kvk|Eintala||||||||direct proof|||||||
bein þríliða|na|kvk|Eintala||||||||direct rule of three|||||||
beinn eftirkomandi|na|kk|Eintala||||næsti eftirkomandi||||direct successor||||immediate successor, sequent|||
bein summa|na|kvk|Eintala|||||||coproduct, direct product|direct sum|||||||
beinn liður|na|kk|Eintala||||||||direct summand|||||||
beint kerfi|na|hk|Eintala||||||||direct system|||||||
brún|na|kvk|Eintala||||||||edge|||||||
brún|na|kvk|Eintala||||||||edge|||||||
brúnahorn|na|hk|Eintala||||||||edge angle|||||||
brúnalengd|na|kvk|Eintala||||||||edge length|||||||
bogalengdarfrymi|na|hk|Eintala||||||||element of arc length|||||||
brottskurður|na|kk|Eintala||||||||excision|||||||
beinn|ls|kk|Eintala|||||||implicit|explicit|||||||
bryggja|sag|kvk|Eintala||||útgizka, útreikna|||interpolate|extrapolate|||||||
bryggjunarfall|na|hk|Eintala||||||||extrapolating function||||extrapolation function|||
bryggjun|na|kvk|Eintala||||útgiskun, útreiknun|||interpolation|extrapolation|||||||
bryggjunarskekkja|na|kvk|Eintala|||||||interpolation error|extrapolation error|||||||
bilanatíðni|na|kvk|Eintala||||óhappatíðni||||failure rate|||||||
brotasvið|na|hk|Eintala||||||||field of quotients||||field of fractions, fraction field, quotient field|||
bútur|na|kk|Eintala||||||||finite element|||||||
bútaaðferð|na|kvk|Eintala||||bútunaraðferð||||finite element method|||||||
beint horn|na|hk|Eintala||||||||flat angle||||straight angle|||
beygjuskilakrosspunktur|na|kk|Eintala||||||||flecnode|||||||
brenniás|na|kk|Eintala|||||||major axis, major axis, transverse axis|focal axis|||||||
brennistrengur|na|kk|Eintala|||||||latus rectum|focal chord|||||||
brennilengd|na||Eintala||||||||focal distance||||focal length|||
brennilína|na|kvk|Eintala||||||||focal line|||||||
brennigeisli|na|kk|Eintala||||||||focal radius|||||||
brennidepill|na|kk|Eintala||||brennipunktur||||focus|||||||
broti|na||Eintala||||||||fractal|||||||
brotmark|na|hk|Eintala||||hlutfallsmark|||centile, percentile, quartile, quintile, sextile|fractile||||quantile|||
brot|na|hk|Eintala|||||||calculus of fractions, circulating decimal, common fraction, complex fraction, compound fraction, continued fraction, decimal, decimal fraction, duodecimal fraction, fraction field, fraction in its lowest terms, fractional arithmetic, fractional number, fractional part, improper fraction, inverse fraction, mixed fraction, numerical fraction, ordinary fraction, periodic continued fraction, periodic decimal, partial fraction, proper fraction, quotient, ratio, recurring decimal, reduced fraction, repeating decimal, similar fractions, simple fraction, simplified fraction, vulgar fraction|fraction|||||||
brotastrik|na|hk|Eintala||||lárétt brotastrik|||fraction stroke|fraction bar||||fraction line, fractional line|||
brotastrik|na|hk|Eintala||||skástrik, brotaskástrik|||fraction bar, fraction line, fractional line|fraction stroke||||solidus|||
brotinn|ls||Eintala||||brota-||||fractional|||||||
brotareikningur|na|kk|Eintala|||||||calculus of fractions|fractional arithmetic|||||||
brotinn veldisvísir|na|kk|Eintala||||||||fractional exponent|||||||
brotið íðal|na||Eintala||||||||fractional ideal|||||||
brotin tala|na||Fleirtala||||brot|||fraction|fractional number|||||||
brothluti|na|kk|Eintala||||||||fractional part|||||||
breiðbogi|na|kk|Eintala||||gleiðbogi||||hyperbola|||||||
breiðger|ls|hk|Eintala||||||||hyperbolic|||||||
breiðger sjálfmótun|na|kvk|Eintala||||breiðger færsla||||hyperbolic automorphism||||hyperbolic transformation|||
breiðbogakósekans|na||Eintala|||||||cosech, csch|hyperbolic cosecant|||||||
breiðbogakósínus|na|kk|Eintala|||||||ch, cosh|hyperbolic cosine|||||||
breiðboga kótangens|na||Eintala|||||||coth, ctgh, cth|hyperbolic cotangent|||||||
breiðbogafall|na|hk|Eintala||||gleiðbogafall||||hyperbolic function|||||||
breiðger rúmfræði|na|kvk|Eintala||||||||hyperbolic geometry|||||||
breiðger fleygbogaflötur|na|kk|Eintala||||söðulflötur||||hyperbolic paraboloid|||||||
breiðger samsíðufrumsenda|na|kvk|Eintala||||||||hyperbolic parallel postulate|||||||
breiðger hlutafleiðujafna|na|kvk|Eintala||||||||hyperbolic partial differential equation|||||||
breiðger slétta|ls|hk|Fleirtala||||||||hyperbolic plane|||||||
breiðger punktur|na|kk|Eintala|||||||saddle point|hyperbolic point|||||||
breiðger Riemann-flötur|na|kk|Eintala||||||||hyperbolic Riemann surface|||||||
breiðbogasekans|na||Eintala|||||||sch, sech|hyperbolic secant|||||||
breiðbogasínus|na|kk|Eintala|||||||sh, sinh|hyperbolic sine|||||||
breiðgert rúm|na|hk|Eintala||||||||hyperbolic space|||||||
breiðger vefja|na|kvk|Eintala||||||||hyperbolic spiral||||reciprocal spiral|||
breiðbogatangens|na|kk|Eintala|||||||tanh, tgh, th|hyperbolic tangent|||||||
breiðgerð|na|kvk|Eintala|||||||hyperbolicity|hyperbolic type|||||||
breiðgerð|na|kvk|Eintala|||||||hyperbolic type|hyperbolicity|||||||
breiðbogariti|na||Eintala||||||||hyperbolograph|||||||
breiðbogaflötur|na|kk|Eintala||||||||hyperboloid|||||||
breiðbogasnúðflötur|na|kk|Eintala||||||||hyperboloid of revolution|||||||
byrjunarlausn|na|kvk|Eintala||||||||initial solution|||||||
brúa|sag||Eintala||||inngiska, innreikna|||extrapolate|interpolate|||||||
brúunarfall|na|hk|Eintala|||||||extrapolating function|interpolating function||||interpolation function|||
brúun|na|kvk|Eintala||||innreiknun, inngiskun|||extrapolation|interpolation|||||||
brúunarskekkja|na|kvk|Eintala|||||||extrapolation error|interpolation error|||||||
brúunaraðferð|na|kvk|Eintala||||||||interpolation method|||||||
bil|na|hk|Eintala|||||||number interval|interval|||||||
bilanet|na|hk|Eintala||||||||interval graph|||||||
bakpokaverkefni|na|hk|Eintala||||||||knapsack problem|||||||
blað|na|hk|Eintala||||||||leaf|||||||
brotin línuleg grúpa|na|kvk|Eintala||||||||linear fractional group|||||||
bagall|na|kk|Eintala||||||||lituus|||||||
bogamínúta|na|kvk|Eintala|||||||minute of angle|minute of arc|||||||
blandað jaðargildisverkefni|na|hk|Eintala||||||||mixed boundary value problem|||||||
blandað hliðarskilyrði|na|hk|Eintala||||blönduð þvingun||||mixed constraint|||||||
blandin tala|ls|hk|Fleirtala||||||||mixed number||||mixed fraction|||
blandin hlutafleiða|ls|hk|Fleirtala||||blönduð hlutafleiða||||mixed partial derivative|||||||
blandið lotutugabrot|na|hk|Eintala||||blandið umferðartugabrot||||mixed periodic decimal||||mixed recurring decimal|||
blandað úrtak|na|hk|Eintala||||||||mixed sample|||||||
blandinn þinur|na|kk|Eintala||||||||mixed tensor|||||||
blandinn liður|na|kk|Eintala||||blandaður liður||||mixed term|||||||
blöndun|na|kvk|Eintala||||||||mixing|||||||
blendið slembiferli|na|hk|Eintala||||||||mixing stochastic process|||||||
brigðgengur|ls|kk|Eintala||||||||non-deterministic|||||||
biðröð|na|kvk|Eintala||||||||\nobreak waiting line||||queue|||
biðtími|na|kk|Eintala||||||||\nobreak waiting time|||||||
bestur|ls||Eintala||||||||optimal|||||||
bestunarverkefni|na|hk|Eintala||||||||optimization problem|||||||
besta leikáætlun|na|kvk|Eintala||||besta áætlun|||maximum strategy, minimum strategy|optimum strategy||||optimal policy|||
braut|na||Eintala|||||||phase curve, trajectory|orbit|||||||
brautarúm|na|hk|Eintala|||||||quotient space|orbit space|||||||
bannjafnvægi|na||Eintala||||||||quasi-stationarity|||||||
biðröð|na|kvk|Eintala||||||||queue||||waiting line|||
biðraðafræði|na|kvk|Eintala||||||||queuing theory|||||||
brotabaugur|na|kk|Eintala||||||||quotient ring||||ring of fractions, ring of quotients|||
brotaregla|na|kvk|Eintala||||hlutfallsregla||||quotient rule|||||||
bogaeining|na|kvk|Eintala||||bogamálseining|||rad|radian|||||||
breytingarhraði|sag||Eintala|||||||difference quotient, divided difference, gradient|rate of change|||||||
beinlínu-|ls||Eintala||||||||rectilinear|||||||
beinlínumynd|na|kvk|Eintala||||||||rectilinear figure|||||||
baugur|na|kk|Eintala||||||||ring|||||||
baugsútvíkkun|na|kvk|Eintala||||baugsvíkkun|||extension, extension ring, overring|ring extension|||||||
baugamótun|na|kvk|Eintala||||||||ring homomorphism|||||||
baugmynstur|na|hk|Eintala||||||||ring structure|||||||
baugað rúm|na||Eintala||||||||ringed space|||||||
brjóstvitsregla|na|kvk|Eintala||||þumalfingursregla||||rule of thumb|||||||
bogasekúnda|na|kvk|Eintala|||||||second of angle|second of arc|||||||
bútur|na|kk|Eintala||||bogi||||segment|||||||
blað|na|hk|Eintala||||þynni||||sheet|||||||
bann-|ls||Eintala||||||||taboo|||||||
bann|na|hk|Eintala||||||||taboo|||||||
bannlíkindi|na|hk|Fleirtala||||||||taboo probability|||||||
braut|na||Eintala||||ferill|||orbit, phase curve|trajectory|||||||
bylta (fylkis)|na||Eintala||||bylt fylki||||transpose||||transpose matrix, transposed matrix|||
bylta|sag|kvk|Eintala||||||||transpose|||||||
bylting|na|kvk|Eintala||||||||transposition|||||||
brennimiðstrengur|na|kk|Eintala||||||||transverse diameter|||||||
breytilegur|ls|kk|Eintala|||||||running|variable|||||||
breyta|na|kvk|Eintala||||breytistærð, breytileg stærð||||variable|||||||
breytulaus|ls|hk|Fleirtala||||||||variable-free|||||||
breytast|sag||Eintala||||||||vary|||||||
breytast með samfelldum hætti|||Eintala||||||||vary continuously|||||||
bylgja|na|kvk|Eintala||||alda||||wave|||||||
bylgjujafna|na|kvk|Eintala||||öldujafna||||wave equation|||||||
belti|na|hk|Eintala||||||||zone|||||||
Baire-setning|na|kvk|Eintala||||setning Baires||||Baire category theorem||||category theorem of Baire|||
Baire-fall|na|hk|Eintala||||||||Baire function|||||||
Banach-algebra|na|kvk|Eintala||||||||Banach algebra|||||||
Banach-rúm|na|hk|Eintala||||||||Banach space||||\(B\)-space|||
Bartlett-próf|na|hk|Eintala||||||||Bartlett test|||||||
Bayes-setning|na|kvk|Eintala||||setning Bayes||||Bayes's theorem||||inverse probability  theorem|||
Bayes-ályktunaraðferð|na|kvk|Eintala||||||||Bayesian inference|||||||
Bayes-tölfræði|na|kvk|Eintala||||||||Bayesian statistics|||||||
Bernoulli-dreifing|na|kvk|Eintala||||tvíliðudreifing, tvíkostadreifing|||binomial distribution|Bernoulli distribution|||||||
Bernoulli-tala|na|kvk|Eintala||||||||Bernoulli number|||||||
Bernoulli-tilraun|na|kvk|Eintala||||||||Bernoulli trial|||||||
Bernoulli-hending|na|kvk|Eintala||||||||Bernoulli variable||||binary random variable, indicator|||
Bessel-fall|na|hk|Eintala||||sívalningsfall||||Bessel function||||cylinder function, cylindrical function|||
Boole-algebra|na|kvk|Eintala||||||||Boolean algebra|||||||
Boole-fall|na|hk|Eintala||||||||Boolean function|||||||
Boole-grind|na|kvk|Eintala||||||||Boolean lattice|||||||
Boole-aðgerð|na|kvk|Eintala||||||||Boolean operation|||||||
Boole-virki|na|kk|Eintala||||||||Boolean operator|||||||
Boole-baugur|na|kk|Eintala||||||||Boolean ring|||||||
Boole-breyta|na|kvk|Eintala||||||||Boolean variable|||||||
Borel-algebra|na|kvk|Eintala||||||||Borel algebra||||Borel field|||
Borel-atburðaalgebra|na|kvk|Eintala||||||||Borel algebra of events|||||||
Borel-fall|na|hk|Eintala||||||||Borel function|||||||
Borel-mengi|sag||Eintala||||||||Borel set|||||||
Brown-hreyfing|na|kvk|Eintala||||brownsk hreyfing|||Wiener process|Brownian movement|||||||
Ceva-þríhyrningur|na|kk|Eintala||||||||aliquot triangle||||cevian triangle|||
Cantor-mengi|sag||Eintala||||Cantorsmengi, talnamengi Cantors, þríundamengi Cantors||||Cantor ternary set||||Cantor's discontinuum|||
Cauchy-próf|na|hk|Eintala||||samleitnipróf Cauchys||||Cauchy criterion||||Cauchy's convergence criterion|||
Cauchy-dreifing|na|kvk|Eintala||||||||Cauchy distribution|||||||
Cauchy-formúla|na|kvk|Eintala||||||||Cauchy formula|||||||
Cauchy-margföldun|na|kvk|Eintala||||||||Cauchy multiplication|||||||
Cauchy-margfeldi|na|hk|Eintala||||||||Cauchy product|||||||
Cauchy-runa|na|kvk|Eintala||||||||Cauchy sequence||||fundamental sequence|||
Cauchy-setningin|na||Eintala||||||||Cauchy's theorem|||||||
Cayley-tala|na|kvk|Eintala||||áttundatala||||Cayley number||||Cayley octave|||
Ceva-strik|na|hk|Eintala||||||||cevian|||||||
Cholesky-þáttun|na|kvk|Eintala||||||||Cholesky method|||||||
Cramer-regla|na|kvk|Eintala||||regla Cramers||||Cramer's rule|||||||
Desargues-|ls||Eintala||||argeskur||||Arguesian||||Desarguesian|||
Dedekind-snið|na|hk|Eintala||||||||Dedekind cut|||||||
Dedekind-baugur|na|kk|Eintala||||||||Dedekind domain|||||||
Desargues-slétta|na|kvk|Eintala||||argesk slétta||||Desarguesian plane|||||||
Díofantosargreining|na||Eintala||||||||diophantine analysis|||||||
Díofantosarjafna|na||Eintala||||||||diophantine equation|||||||
Dirichlet-dreifing|na|kvk|Eintala||||||||Dirichlet distribution|||||||
Dirichlet-röð|na|kvk|Eintala||||||||Dirichlet series|||||||
Dynkin-rit|na|hk|Eintala||||||||Dynkin diagram|||||||
Dynkin-safn|na|hk|Eintala||||||||Dynkin set|||||||
Desargues-setningin meiri|na||Eintala||||stóra Desargues-setningin||||major theorem of Desargues|||||||
Desargues-setningin minni|na||Eintala||||litla Desargues-setningin||||minor theorem of Desargues|||||||
deilda- og heildareikningur|na||Eintala||||diffur- og tegurreikningur, örsmæðareikningur, reiknivísi|||analysis, differential calculus, integral calculus|calculus||||differential and integral calculus, infinitesimal calculus|||
dálkur|na|kk|Eintala||||súla||||column|||||||
dálkvísir|na|kk|Eintala||||||||column index|||||||
dálkfylki|na|hk|Eintala||||eindálkafylki, súlufylki|||column vector|column matrix||||one-column matrix, single-column matrix|||
dálkmeðaltal|na|hk|Eintala||||||||column mean||||column average|||
dálkaðgerð|na|kvk|Eintala||||||||column operation|||||||
dálkstétt|na|kvk|Eintala||||||||column rank|||||||
dálksumma|na|kvk|Eintala||||dálksamtala||||column total|||||||
dálkvigur|na|kk|Eintala||||súluvigur|||column matrix|column vector|||||||
draga saman|sag|kvk|Eintala||||||||contract|||||||
dreifirit|na|hk|Eintala||||punktaský, punktarit||||correlation diagram||||dispersion diagram, scatter diagram, scattergram|||
deildarúm|na|hk|Eintala|||||||factor space, identification space, quotient space|coset space|||||||
dreifingarfall|na|hk|Eintala||||dreififall, líkindadreifingarfall|||cumulative frequency function, cumulative relative frequency function, partition function|cumulative distribution function||||cumulative probability function, distribution, distribution function, probability distribution function, probability function|||
