Hugtök: is,Orðaflokkur: is,Kyn,Tala: is,Skilgreining: is,Skýring: is,Dæmi: is,Samheiti: is,Heimild: is,Sérsvið: is,Vísun/sjá einnig: is,Hugtak: en,Skilgreining: en,Skýring: en,Dæmi: en,Samheiti: en,Heimild: en,Sérsvið: en,Vísun/sjá einnig: en,id
alhæfður,ls,kk,Eintala,,,,,,,,generalized,,,,general,,,,6545
alhæfð runa,ls,hk,Fleirtala,,,,"nót, net",,,,generalized sequence,,,,net,,,,6546
alhæfing,na,kvk,Eintala,,,,,,,,generalization,,,,,,,,6547
alhæfingarregla,na,kvk,Eintala,,,,,,,,rule of generalization,,,,,,,,6548
alhæfi,na,,Eintala,,,,altæki,,,,generality,,,,,,,,6549
alhæft meðaltal,na,hk,Eintala,,,,,,,,general mean,,,,,,,,6550
alhæfur,ls,kk,Eintala,,,,altækur,,,general proposition,general,,,,,,,,6551
aljafna,na,kvk,Eintala,,,,,,,,(equation true for all values) identity,,,,,,,,211
allsherjaralgebra,na,kvk,Eintala,,,,,,,,universal algebra,,,,,,,,215
allsherjareiginleiki,na,kk,Eintala,,,,,,,,universal property,,,,,,,,216
allsherjarflokkur,na,kk,Eintala,,,,,,,,(of structures) universal class,,,,,,,,217
allsherjarhlutur,na,kk,Eintala,,,,,,,,universal object,,,,,,,,218
allsherjarlokun,na,kvk,Eintala,,,,,,,,universal closure,,,,,,,,219
allsherjarmagnari,na,kk,Eintala,,,,allsherjarvirki,,,,universal quantifier,,,,,,,,220
allsherjarsvið,na,hk,Eintala,,,,,,,,universal field,,,,,,,,221
allsherjartákn,na,hk,Eintala,,,,,,,universal quantifier,universal symbol,,,,,,,,222
allsherjarþekjuflötur,na,kk,Eintala,,,,,,,,modular surface,,,,universal covering surface,,,,223
allsherjarþekjurúm,na,hk,Eintala,,,,,,,,universal covering space,,,,,,,,224
allsherjar-,pref,,,,,,,,,,universal,,,,,,,,214
alls staðar samleitinn,ls,kk,Eintala,,,,alstaðar samleitinn,,,,everywhere convergent,,,,,,,,212
alls staðar þéttur,ls,kk,Eintala,,,,alstaðar þéttur,,,,everywhere dense,,,,,,,,213
allt eða ekkert,,,Eintala,,,,,,,,all or none,,,,,,,,225
almengi,na,hk,Eintala,,,,,,,,universal set,,,,,,,,226
almenna afstæðiskenningin,na,kvk,Eintala,,,,,,,,general theory of relativity,,,,,,,,233
almennt brot,na,hk,Eintala,"<ref idTerm=2072>Hlutfall</ref> tveggja <ref idTerm=1896>heiltalna</ref> \(a\) og \(b \neq 0\), ritað á forminu \(\frac{a}{b}\). Talan \(a\) kallast \textit{teljari} og talan \(b\) \textit{nefnari}","Gerum ráð fyrir að einhver tiltekin <ref idTerm=1899>heild</ref> sé gefin. Þessi heild getur til dæmis verið <ref idTerm=5335>svæði</ref> eins og <ref idTerm=4175>rétthyrningur</ref> eða <ref idTerm=2295>hringur</ref>, hún getur verið <ref idTerm=2196>hópur</ref> af hlutum eins og eplum, appelsínum eða mönnum, o.s.frv. Í bili skulum við gera ráð fyrir að heildin sé rétthyrningurinn á myndinni að neðan:\n\n\begin{center}\n\includegraphics[width=150px]{myndir/heild.png}\n\end{center}\n\nVið skilgreindum <ref idTerm=5227>stofnbrotið</ref> \(\frac1b\) til að svara eftirfarandi spurningu: ``Ef tiltekinni heild er skipt í \(b\) jafna hluta, hver er þá stærð hvers hluta miðað við heildina?'' Með öðrum orðum hefur sérhver hluti á myndinni að neðan stærðina \(\frac1b\) miðað við heildina:\n\n\begin{center}\n\includegraphics[width=150px]{myndir/b_hlutar.png}\n\end{center} \n\nHér höfum við áhuga á að svara aðeins almennari spurningu: ``Ef heildinni er skipt í \(b\) jafna hluta, hver er þá stærð \(a\) slíkra hluta miðað við heildina?'' Til að svara spurningunni innleiðum við táknið \(\frac{a}b\), sem við lesum „\(a\) á móti \(b\)“ eða „\(a\) \(b\)-tu“. Við látum sem sagt \(\frac{a}b\) tákna stærð dökka svæðisins á myndinni að neðan miðað við heildina:\n\n\begin{center}\n\includegraphics[width=150px]{myndir/a_hlutar.png}\n\end{center}",,,,,,common fraction,,,,"ordinary fraction, simple fraction, vulgar fraction",,,,234
almennt tilfelli,na,hk,Eintala,,,,almennt tilvik,,,,general case,,,,,,,,235
almennt,,,,,,,að jafnaði,,,,generally,,,,in general,,,,236
almennur,ls,kk,Eintala,,,,,,,"general case, general term",general,,,,,,,,237
almennur ferill,na,kk,Eintala,,,,,,,,generic curve,,,,,,,,239
almennur liður,na,kk,Eintala,,,,,,,,general term,,,,,,,,240
almennur punktur,na,kk,Eintala,,,,,,,,general point,,,,generic point,,,,241
almenn algebrujafna,na,kvk,Eintala,,,,almenn margliðujafna,,,,general algebraic equation,,,,,,,,227
almenn grannfræði,na,kvk,Eintala,,,,mengjagrannfræði,,,,general topology,,,,"point set topology, set topology",,,,228
almenn línuleg grúpa,na,kvk,Eintala,,,,,,,,full linear group,,,,general linear group,,,,229
almenn línuleg varpgrúpa,na,kvk,Eintala,,,,,,,,projective general linear group,,,,,,,,230
almenn samfellutilgáta,na,kvk,Eintala,,,,alhæfð samfellutilgáta,,,"Cantor's continuum hypothesis, GCH",general continuum hypothesis,,,,generalized continuum hypothesis,,,,231
almenn staða,na,kvk,Eintala,,,,,,,,general position,,,,,,,,232
alsamfelldni,na,kvk,Eintala,,,,,,,,absolute continuity,,,,,,,,242
alsamfelldur,ls,kk,Eintala,,,,,,,,absolutely continuous,,,,completely continuous,,,,243
alsamleggjanlegur,ls,kk,Eintala,,,,,,,,absolutely summable,,,,,,,,244
alsamleitinn,ls,kk,Eintala,,,,,,,normally convergent,absolutely convergent,,,,,,,,245
alsamleitinn í jöfnum mæli,ls,kk,Eintala,,,,,,,normally convergent,uniformly absolutely convergent,,,,,,,,246
alsamleitni,na,kvk,Eintala,,,,,,,normal convergence,absolute convergence,,,,,,,,247
alsamleitnihálfslétta,na,kvk,Eintala,,,,,,,,half-plane of absolute convergence,,,,,,,,249
alsamleitnimark,na,hk,Eintala,,,,alsamleitniláhnit,,,,abscissa of absolute convergence,,,,,,,,250
alsamleitni í jöfnum mæli,na,kvk,Eintala,,,,,,,normal convergence,uniform absolute convergence,,,,,,,,248
altæk fullyrðing,na,kvk,Eintala,,,,alhæf fullyrðing,,,,general proposition,,,,,,,,251
andbrigður þinur,na,kk,Eintala,,,,mótbrigður þinur,,,,contravariant tensor,,,,,,,,260
andbrigður,ls,kk,Eintala,,,,mótbrigður,,,,contravariant,,,,,,,,261
andeinsmóta,ls,kvk,Eintala,,,,,,,,antiisomorphic,,,,,,,,262
andeinsmótun,na,kvk,Eintala,,,,,,,,antiisomorphism,,,,,,,,263
andfágaður,ls,kk,Eintala,,,,,,,,antiholomorphic,,,,,,,,266
andfætispunktar,na,kk,Fleirtala,,,,gagnstæðir punktar,,,,antipodal points,,,,,,,,264
andfætisvörpun,na,kvk,Eintala,,,,,,,,antipodal mapping,,,,,,,,265
andhermískt form,na,hk,Eintala,,,,,,,"inner product, scalar product",antihermitian sesquilinear form,,,,antihermitian form,,,,267
andhermískur,ls,kk,Eintala,,Einnig ritað {\it skew-Hermitian},,,,,,skew-hermitian,,,,,,,,268
andhverfa,na,kvk,Eintala,,,,,,,"inverse function, inverse mapping",(of a bijection) inverse,,,,,,,,270
andhverfanlegur,ls,kk,Eintala,<ref idTerm=3282>Vörpun</ref> kallast \textit{andhverfanleg} ef hún á sér <ref idTerm=273>andhverfu</ref>.,,,,,,inverse,(of a mapping) invertible,,,,,,,,274
andhverfa (falls),na,,Eintala,,,,andhverft fall,,,inverse,inverse function,,,,,,,,271
andhverfa (fylkis),na,,Eintala,,,,"umhverfa (fylkis), andhverft fylki, umhverft fylki",,,,adjugate matrix,,,,"inverse matrix, reciprocal matrix",,,,272
