Hugtök: is,Val: is,Orðaflokkur: is,Kyn,Tala: is,Skilgreining: is,Skýring: is,Dæmi: is,Samheiti: is,Heimild: is,Sérsvið: is,Vísun/sjá einnig: is,Hugtak: en,Val: en,Skilgreining: en,Skýring: en,Dæmi: en,Samheiti: en,Heimild: en,Sérsvið: en,Vísun/sjá einnig: en,id
almennt brot,0,na,hk,Eintala,"<ref idTerm=2072>Hlutfall</ref> tveggja <ref idTerm=1896>heiltalna</ref> \(a\) og \(b \neq 0\), ritað á forminu \(\frac{a}{b}\). Talan \(a\) kallast \textit{teljari} og talan \(b\) \textit{nefnari}","Gerum ráð fyrir að einhver tiltekin <ref idTerm=1899>heild</ref> sé gefin. Þessi heild getur til dæmis verið <ref idTerm=5335>svæði</ref> eins og <ref idTerm=4175>rétthyrningur</ref> eða <ref idTerm=2295>hringur</ref>, hún getur verið <ref idTerm=2196>hópur</ref> af hlutum eins og eplum, appelsínum eða mönnum, o.s.frv. Í bili skulum við gera ráð fyrir að heildin sé rétthyrningurinn á myndinni að neðan:\n\n\begin{center}\n\includegraphics[width=150px]{myndir/heild.png}\n\end{center}\n\nVið skilgreindum <ref idTerm=5227>stofnbrotið</ref> \(\frac1b\) til að svara eftirfarandi spurningu: ``Ef tiltekinni heild er skipt í \(b\) jafna hluta, hver er þá stærð hvers hluta miðað við heildina?'' Með öðrum orðum hefur sérhver hluti á myndinni að neðan stærðina \(\frac1b\) miðað við heildina:\n\n\begin{center}\n\includegraphics[width=150px]{myndir/b_hlutar.png}\n\end{center} \n\nHér höfum við áhuga á að svara aðeins almennari spurningu: ``Ef heildinni er skipt í \(b\) jafna hluta, hver er þá stærð \(a\) slíkra hluta miðað við heildina?'' Til að svara spurningunni innleiðum við táknið \(\frac{a}b\), sem við lesum „\(a\) á móti \(b\)“ eða „\(a\) \(b\)-tu“. Við látum sem sagt \(\frac{a}b\) tákna stærð dökka svæðisins á myndinni að neðan miðað við heildina:\n\n\begin{center}\n\includegraphics[width=150px]{myndir/a_hlutar.png}\n\end{center}",,,,,,"common fraction, ordinary fraction, simple fraction, vulgar fraction",0,,,,,,,,234
"almennt tilfelli, almennt tilvik",0,na,hk,Eintala,,,,,,,,general case,0,,,,,,,,235
"almennt, að jafnaði",0,,,,,,,,,,,"generally, in general",0,,,,,,,,236
almennur,0,ls,kk,Eintala,,,,,,,"general case, general term",general,0,,,,,,,,237
almennur ferill,0,na,kk,Eintala,,,,,,,,generic curve,0,,,,,,,,239
almennur liður,0,na,kk,Eintala,,,,,,,,general term,0,,,,,,,,240
almennur punktur,0,na,kk,Eintala,,,,,,,,"general point, generic point",0,,,,,,,,241
"almenn algebrujafna, almenn margliðujafna",0,na,kvk,Eintala,,,,,,,,general algebraic equation,0,,,,,,,,227
"almenn grannfræði, mengjagrannfræði",0,na,kvk,Eintala,,,,,,,,"general topology, point set topology, set topology",0,,,,,,,,228
almenn línuleg grúpa,0,na,kvk,Eintala,,,,,,,,"full linear group, general linear group",0,,,,,,,,229
almenn línuleg varpgrúpa,0,na,kvk,Eintala,,,,,,,,projective general linear group,0,,,,,,,,230
"almenn samfellutilgáta, alhæfð samfellutilgáta",0,na,kvk,Eintala,,,,,,,"Cantor's continuum hypothesis, GCH","general continuum hypothesis, generalized continuum hypothesis",0,,,,,,,,231
almenn staða,0,na,kvk,Eintala,,,,,,,,general position,0,,,,,,,,232
alsamfelldni,0,na,kvk,Eintala,,,,,,,,absolute continuity,0,,,,,,,,242
alsamfelldur,0,ls,kk,Eintala,,,,,,,,"absolutely continuous, completely continuous",0,,,,,,,,243
alsamleggjanlegur,0,ls,kk,Eintala,,,,,,,,absolutely summable,0,,,,,,,,244
alsamleitinn,0,ls,kk,Eintala,,,,,,,normally convergent,absolutely convergent,0,,,,,,,,245
alsamleitinn í jöfnum mæli,0,ls,kk,Eintala,,,,,,,normally convergent,uniformly absolutely convergent,0,,,,,,,,246
alsamleitni,0,na,kvk,Eintala,,,,,,,normal convergence,absolute convergence,0,,,,,,,,247
alsamleitnihálfslétta,0,na,kvk,Eintala,,,,,,,,half-plane of absolute convergence,0,,,,,,,,249
"alsamleitnimark, alsamleitniláhnit",0,na,hk,Eintala,,,,,,,,abscissa of absolute convergence,0,,,,,,,,250
alsamleitni í jöfnum mæli,0,na,kvk,Eintala,,,,,,,normal convergence,uniform absolute convergence,0,,,,,,,,248
